"type","calque","id","class","etape","decal","duree","size","centre"
"text","general","titre_gene","grandit","0","0","","26",""
"text","explis","explis","grandit","0","0","","10",""
"g","acteur","dessin_banque","opac","1","1","","",""
"text","acteur","titre_banque","grandit","1","1","","14",""
"text","mobs","argA_txt","grandit","1","2","","11",""
"path","mobs","argA_bul","gonfle","1","2","","",""
"g","boules","pastille1","opac","1","0","","",""
"g","boules","b1_contour","deboule","1","0","","25.93","-555.5,-156.6"
"text","boules","b1_txt","grandit","1","0","","9",""
"text","boules","b1_titre","grandit","1","0","","12","568.6,190"
"path","acteur","contour_banque","resserre","1","1","","","212.6,-183.7"
"path","chemin","t1","dash","1","2","","",""
"path","chemin","t2","dash","1","3","","",""
"path","chemin","f_2","appar","1","3","","",""
"g","acteur","dessin_entrep","opac","1","3","","",""
"text","acteur","titre_entrep","grandit","1","3","","14",""
"g","boules","pastille2","opac","2","0","","",""
"g","boules","b2_contour","deboule","2","0","","29.22","-1132.8,-131.4"
"text","boules","b2_txt","grandit","2","0","","9",""
"text","boules","b2_titre","grandit","2","0","","12","1200,60"
"text","acteur","txt_entrep","grandit","1","3","","12",""
"path","chemin","t3","dash","2","4","","",""
"path","chemin","f_3","appar","2","4","","",""
"path","plus","maison","dash","2","1","","",""
"path","acteur","contour_entrep","resserre","1","3","","","875.1,-220.3"
"path","chemin","t4","dash","2","5","","",""
"path","chemin","f_4","appar","2","5","","",""
"rect","plus","carrea_j","opac","2","2","","",""
"rect","plus","carreb_j","opac","2","2","","",""
"text","plus","mat_prem","grandit","2","2","","11",""
"text","plus","out_prod","grandit","2","2","","11",""
"text","plus","val_trav","grandit","2","3","","12",""
"text","plus","salaire","opac","2","3","","11",""
"text","plus","surtravail","opac","2","3","","12.5",""
"text","plus","lutte","grandit","2","3","","11.5",""
"path","plus","poing","opac","2","3","","",""
"path","plus","cadre","opac","2","3","","",""
"path","plus","bloc_rouge","gauche_droite","2","3","","",""
"path","plus","bloc_bleu","droite_gauche","2","3","","",""
"g","acteur","dessin_trav","opac","3","1","","",""
"text","acteur","titre_trav","grandit","3","1","","14",""
"text","acteur","txt_trav","grandit","3","1","","12",""
"g","boules","pastille3","opac","3","0","","",""
"g","boules","b3_contour","deboule","3","0","","31.76","-554.2,-372.6"
"text","boules","b3_txt","grandit","3","0","","9",""
"text","boules","b3_titre","grandit","3","0","","12","567.3,330"
"path","acteur","contour_trav","resserre","3","1","","","373,-449.6"
"path","chemin","t5","dash","3","2","","",""
"path","chemin","f_5","appar","3","2","","",""
"g","acteur","dessin_surt","opac","4","2","","",""
"text","acteur","titre_surt","grandit","4","2","","14",""
"path","chemin","t9","dash","4","1","","",""
"path","chemin","f_9","appar","4","1","","",""
"text","mobs","mob09","opac","4","1","","",""
"text","mobs","mobi09","oclik","4","1","","",""
"g","boules","pastille4","opac","4","0","","",""
"g","boules","b4_contour","deboule","4","0","","29.56","-840.8,-534.6"
"text","boules","b4_txt","grandit","4","0","","9",""
"text","boules","b4_titre","grandit","4","0","","12","853.9,534.6"
"path","acteur","contour_surt","resserre","4","2","","","789,-656.9"
"text","mobs","argAp_txt","grandit","4","3","","13",""
"path","mobs","argAp_bul","gonfle","4","3","","",""
"path","chemin","t6","dash","4","3","","",""
"path","chemin","t7","dash","4","4","","",""
"path","chemin","f_7","appar","4","4","","",""
"text","mobs","mob07","opac","4","4","","",""
"text","mobs","mobi07","oclik","4","4","","",""
"path","chemin","t8","dash","4","5","","",""
"path","chemin","f_8","appar","4","5","","",""
"text","mobs","mob08","opac","4","5","","",""
"text","mobs","mobi08","oclik","4","5","","",""
"path","chemin","t10","dash","4","6","","",""
"path","chemin","f_10","appar","4","6","","",""
"text","mobs","mob10","opac","4","6","","",""
"text","mobs","mobi10","oclik","4","6","","",""
"path","chemin","t11","dash","5","1","","",""
"path","chemin","f_11","appar","5","1","","",""
"g","boules","pastille5","opac","5","0","","",""
"g","boules","b5_contour","deboule","5","0","","27.21","-273.8,-620.4"
"text","boules","b5_txt","grandit","5","0","","9",""
"text","boules","b5_titre","grandit","5","0","","12","286.9,670"
"path","chemin","t12","dash","5","2","","",""
"path","chemin","f_12","appar","5","2","","",""
"text","mobs","mob12","opac","5","2","","",""
"text","mobs","mobi12","oclik","5","2","","",""
"path","chemin","t13","dash","5","3","","",""
"path","chemin","f_13","appar","5","3","","",""
"text","mobs","mob13","opac","5","3","","",""
"text","mobs","mobi13","oclik","5","3","","",""
"path","chemin","t14","dash","6","1","","",""
"path","chemin","f_14","appar","6","1","","",""
"text","mobs","mob14","opac","6","1","","",""
"text","mobs","mobi14","oclik","6","1","","",""
"g","boules","pastille6","opac","6","0","","",""
"g","boules","b6_contour","deboule","6","0","","26.71","-202.2,-378.6"
"text","boules","b6_txt","grandit","6","0","","9",""
"text","boules","b6_titre","grandit","6","0","","12","215.3,430"
"path","chemin","t15","dash","6","2","","",""