"origine","australia","austria","belgium","canada","czech republic","denmark","finland","france","germany","greece","hungary","ireland","israel","italy","japan","korea","luxembourg","netherlands","new zealand","norway","poland","portugal","slovenia","spain","sweden","switzerland","united kingdom","united states"
"albania","2129","3967","5032","14143","510","337","414","7023","105924","218338","362","","","398687","505","166","974","1578","82","899","1245","","258","3458","2350","823","","73923"
"andorra","2","5","15","6","","0","0","220","78","","0","","","87","13","7","8","1","","3","0","","","2341","1","28","",""
"austria","2288","","2261","1766","3611","1628","524","0","160886","","6189","","269","5175","12028","1550","955","6843","1001","1596","3052","","812","11004","2783","41579","6209","7203"
"belarus","879","3278","998","6708","7877","854","622","3785","36639","","366","","","11106","1333","1311","467","2074","183","1115","38228","","132","5927","2910","806","","37461"
"belgium","2516","3976","","6179","684","1510","534","12972","37848","","1439","","2084","5632","3413","1780","19234","32546","1911","1536","1235","","301","36430","2339","16371","12360","10589"
"bosnia and herzegovina","7008","67560","1939","4643","3562","2305","1070","8047","168438","","608","","","18143","491","35","1476","1122","56","2847","246","","64279","1827","12754","4119","","104467"
"bulgaria","1561","41261","40040","16099","11561","9617","2017","2093","531823","","720","","855","68359","2562","1392","1603","46404","630","7272","7240","12545","16185","197802","8433","7553","24481","57724"
"croatia","3510","54824","1988","3963","1919","1127","455","1709","274996","","2441","","","14237","916","649","607","1896","318","2626","1240","","17133","3299","5350","2796","2681","16571"
"cyprus","337","328","532","283","113","120","81","38","3363","","279","","","256","63","56","128","958","21","108","149","","22","409","385","588","3347","2294"
"czech republic","2814","22620","4127","3298","","2093","720","946","140330","","704","","","7735","7359","1002","1328","8482","5640","2611","3110","","1474","11676","2650","10154","15000","6111"
"denmark","2590","2792","4829","1433","425","0","1044","0","36062","","538","","","2380","2942","2068","2112","6406","1732","26305","2462","","88","12604","53190","7381","15730","8923"
"estonia","751","1066","1171","584","164","2397","47667","98","13115","","152","","","1500","1215","117","826","2622","451","7111","256","","71","2961","6800","1237","4000","4583"
"finland","1822","4551","2961","1237","389","3677","0","0","34287","","1068","","","2140","4930","1845","1384","7966","1316","11717","1401","","283","13786","43918","6421","8519","6392"
"france","15624","14213","184268","74256","3645","8882","2929","0","219265","","4501","","39519","33358","41317","23545","44755","41619","22608","9470","12898","12643","1057","131300","11906","160398","180876","64938"
"germany","25036","241040","50234","35289","22865","27128","4999","13549","","","26341","","1422","36789","44185","18817","14574","116398","35124","32061","41360","13384","1857","172777","36285","403155","145482","114239"
"greece","3580","10176","13668","3162","816","2791","999","20","269955","","802","","119","6665","957","2347","2358","25631","254","2914","1201","","175","6901","10313","12231","42092","15732"
"hungary","3562","109083","8136","7625","2514","5869","2596","1131","492835","","0","","1502","11488","5135","635","2099","25372","785","4171","2306","","1667","13482","9532","22422","38145","19094"
"iceland","140","551","297","386","36","14669","290","0","3596","","168","","","361","660","74","553","1325","179","12999","29","","16","2015","8394","796","","1813"
"ireland","45125","2572","5665","9520","635","1726","663","0","25350","","790","","","2804","3837","4385","1731","9289","19531","1393","1376","","115","21563","3347","6265","57049","24542"
"italy","10916","35803","59384","7168","3379","9751","2700","25869","474958","","3911","","1548","","22999","3509","13385","41724","5109","6139","9450","11375","3474","209936","9970","154331","119567","43865"
"latvia","689","2624","2233","2236","433","7316","1938","187","68447","","212","","","3395","950","281","877","7829","351","12699","1086","","174","5989","7364","3166","31037","8717"
"liechtenstein","15","316","12","7","7","17","3","0","406","","8","","","335","29","4","7","28","3","6","1","","7","73","17","2089","","9"
"lithuania","725","3321","2921","2001","614","15451","1547","436","88194","","227","","","6789","1709","425","1042","10231","158","46144","3871","","353","26555","13647","2656","71241","22508"
"luxembourg","40","1197","2124","160","23","69","17","0","27995","","41","","","331","391","36","0","640","38","53","73","","8","701","79","2318","2000","439"
"malta","980","127","405","411","23","94","31","39","1022","","68","","","808","51","28","400","464","72","72","43","","12","353","168","313","2000","897"
"moldova","504","4023","1446","15752","17106","444","192","5232","18146","","599","","","167260","663","1349","142","1005","80","494","5276","30269","572","22994","595","457","1000","33547"
"monaco","3","16","4","21","","0","1","7","62","","0","","","168","22","6","4","5","2","12","0","","","24","5","24","","122"
"montenegro","97","935","308","125","80","102","19","542","12411","","185","","","612","116","19","1117","144","3","183","138","","859","237","862","397","","1394"
"netherlands","12307","12844","149711","10808","2630","6683","1493","0","154755","","3568","","685","8139","9004","4099","3543","","7792","9304","4798","7204","272","56393","12215","22826","27562","21565"
"norway","2125","1423","1653","1195","274","22218","1151","0","14186","","2115","","","1325","2825","3599","422","5308","1172","0","2072","","46","23087","38931","3563","18781","6031"
"poland","7546","84268","99245","17630","15875","41070","4555","6011","2150923","","2386","","379","123559","8871","2425","4983","176533","1114","117444","0","","2511","91476","63898","33284","499416","157471"
"portugal","3186","7130","41732","8117","439","3158","724","26322","130958","","617","","","6114","1325","748","60931","29099","395","4480","2312","","1423","138813","2885","210814","64207","16467"
"romania","4756","146947","96057","54801","9225","25005","2898","27377","1163816","","120006","","1198","1253462","4527","4001","4426","30534","1945","15611","3895","49140","2534","1001846","20803","19264","143284","78514"
"russia","15261","46316","14626","47381","51702","6085","38222","48833","376534","10095","6996","","","55925","77606","74017","2385","8663","5569","18229","28110","12754","2949","103954","17312","11858","6579","202204"
"san marino","4","3","5","1","1","2","0","13","104","","0","","","614","23","2","3","1","","5","0","","","57","4","8","",""
"serbia","1986","58962","3063","2743","2301","1025","783","8435","173178","","9318","","","25617","843","112","1776","1681","207","4033","928","","25927","5267","12428","23673","","4255"
"slovak republic","2283","66740","5106","4708","133398","3246","535","821","185552","","14847","","","12743","2428","312","1043","11193","497","5908","3128","","3441","9834","2195","14967","7045","10806"
"slovenia","769","18491","1323","365","276","530","144","125","38617","","379","","","3412","1064","202","755","1602","334","475","430","","","2288","911","4893","2000","1489"
"spain","3461","12669","52620","3470","1189","8829","2967","25278","211605","","1858","","624","23042","12959","3314","4888","42457","1467","9709","5971","18961","1646","","11030","56455","109607","29536"
"sweden","5997","6473","7828","2716","758","17277","11030","0","41325","","1723","","325","3887","9397","3057","2350","10237","4039","71752","4804","","231","27189","","14001","17561","18920"
"switzerland","4230","9123","1820","5232","514","1424","556","4343","60418","","1322","","1242","7505","5077","1705","756","4719","2044","1365","709","","140","16746","1877","","7265","13034"
"ukraine","5441","18353","5055","41768","195788","16771","3755","13430","191166","9004","34089","","","272528","9171","8072","1344","8874","1220","5187","180071","88483","2792","124207","6913","4886","2000","204669"
"united kingdom","381036","18594","36032","107539","5405","14887","5068","19088","153376","","4918","98700","7560","27520","98358","25174","6671","73794","167520","17490","11600","24796","872","391146","23778","66326","","228117"
