"variable","litteral"
"albania","Albanie"
"andorra","Andorre"
"austria","Autriche"
"belarus","Biélorussie"
"belgium","Belgique"
"bosnia_and_herzegovina","Bosnie Herzégovine"
"bulgaria","Bulgarie"
"croatia","Croatie"
"cyprus","Chypre"
"czech_republic","République tchèque"
"denmark","Danemark"
"estonia","Estonie"
"finland","Finlande"
"france","France"
"germany","Allemagne"
"greece","Grèce"
"hungary","Hongrie"
"iceland","Islande"
"ireland","Irlande"
"italy","Italie"
"latvia","Lettonie"
"liechtenstein","Liechtenstein"
"lithuania","Lithuanie"
"luxembourg","Luxembourg"
"malta","Malte"
"moldova","Moldavie"
"monaco","Monaco"
"montenegro","Montenegro"
"netherlands","Pays-bas"
"norway","Norvège"
"poland","Pologne"
"portugal","Portugal"
"romania","Roumanie"
"russia","Russie"
"san_marino","San Marino"
"serbia","Serbie"
"slovak_republic","Slovaquie"
"slovenia","Slovénie"
"spain","Espagne"
"sweden","Suède"
"switzerland","Suisse"
"ukraine","Ukraine"
"united_kingdom","Royaume-Uni"
"australia","Australie"
"canada","Canada"
"chile","Chili"
"israel","Israël"
"japan","Japon"
"korea","Corée"
"mexico","Mexique"
"new zealand","Nouvelle-Zélande"
"turkey","Turquie"
"united states","Etats-Unis"