"Titre_1945","Ville","Fin_type","Fin_Annee","Titre_2016","Crea_Annee","Aire_diffusion","change_fusion_nom","change_date","groupe","date_groupe","periode_cessation","source"
"Le Haut-Marnais réûblicain","Chaumont","fusion","1944","none","1933","52","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328364962"
"Le Havre éclair","Le_Havre","none","1961","none","1949","76","none","none","none","","none","archives_76_http://catalogue.bnf.fr/ark:/12148/cb327860886"
"L'Humanité d'Alsace et de Lorraine","Strasbourg","cesse","1992","none","1944","57,67,68","none","none","none","","none","archives47_http://data.bnf.fr/32787742/l_humanite_d_alsace_et_de_lorraine/"
"L'Indépendant de l'Aube","Troyes","none","1962","none","1871","10","false,Le Courrier de l'Aube","1960","none","","none","http://www.jschweitzer.fr/troyes-aube-pr%C3%A9curseurs/la-presse/"
"Le journal d'Alsace","Strasbourg","cesse","1946","none","none","67","none","none","none","","none","archives47"
"Le journal de Biarritz et de la côte basque","Biarritz","cesse","1968","none","none-1952","64","none","none","none","","none","archives64"
"Le journal de Corse","Ajaccio","hebdomadaire","1997","none","1817","2A,2B","none","none","none","","none","archives_2A_http://presselocaleancienne.bnf.fr/ark:/12148/cb34417246c"
"Le journal de la Marne","Chalons_Champagne","fusion","1949","none","1811","51","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328008425"
"Le journal de Vichy","Vichy","cesse","1962","none","1870","3","none","none","none","","none","archives_03_http://presselocaleancienne.bnf.fr/ark:/12148/cb327990226"
"Liberté","Clermont_Ferrand","none","1965","none","1944","63","none","none","none","","none","archives_63"
"La liberté de l'ouest","Le_Mans","cesse","none","none","none","none","none","none","none","","none","archives72"
"La liberté de Charentes","Angouleme","cesse","1947","none","1944","16","none","none","none","","none","archives_16_http://presselocaleancienne.bnf.fr/ark:/12148/cb412455560"
"La liberté du Centre","Limoges","cesse","1950","none","1860","19,23,87","false,Le Courrier du Centre","1944","none","","none","http://data.bnf.fr/32806822/la_liberte_du_centre__limoges__1944_/"
"La Marseillaise","Lyon","cesse","1947","none","1880","69","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32811861w"
"La Marseillaise du Berry","Chateauroux","cesse","1951","none","1944","36","true,L'écho - la marseillaise","1951","none","","none","archives_36_http://www.l-echo.info/lieu/2949/indre"
"Le Messin","Metz","cesse","1947","none","1884","57","none","none","none","","none","archives_57_http://presselocaleancienne.bnf.fr/ark:/12148/cb32815346k"
"La Montagne Noire","Mazamet","quadrihebdo_89","2016","none","1944","81","false,La Montagne Noire - La voix libre","1989","none","","none","archives_ départemantales"
"La Nation","Clermont_Ferrand","cesse","1947","none","none","none","none","none","none","","none","archives63"
"Nord soir","Lille","cesse","1947","none","1921","59","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328079753"
"Nouveau journal","Strasbourg","cesse","none","none","none","47","none","none","none","","none","archives47"
"La Nouvelle République de Bordeaux et du Sud-Ouest","Bordeaux","cesse","1903","none","1900","33","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328530881"
"Le Patriote","Bastia","cesse","1949","none","1939","2A,2B","none","none","none","","none","archives_2b_http://presselocaleancienne.bnf.fr/ark:/12148/cb32833941f"
"La Patriote des Pyrénées","Pau","cesse","1944","none","1896","64","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32834057k"
"Le pays","Rodez","cesse","1947","none","1945","12,48,87","none","none","Mouvement républicain populaire","","none",""
"Le petit bastiais","Bastia","cesse","1972","none","1881","2A,2B","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb34362263m"
"Le Petit Maçonnais","Macon","cesse","1947","none","1881","71","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32836786k"
"Le Petit Varrois","Toulon","cesse","1975","none","1946","86","none","PCF","none","","none","archives_83_http://data.bnf.fr/34379145/le_petit_varois__la_marseillaise/_http://www.archives_.var.fr/_depot_ad83/datas/ark_cms/_depot_arko/articles/580/le-petit-varois_doc.pdf"
"Le Populaire de l'ouest","Nantes","fusion","1956","none","1874","42,44,56,85","true,L'éclair","1956","none","","none","archives"
"La Presse du Calvados","Caen","fusion","1948","none","1946","14","true, La liberté de Normandie","1948","none","","none","archives_14"
"Quarante quater","Agen","cesse","1946","none","?","47","none","none","none","","none","http://www.priceminister.com/offer/buy/812515958/quarante-quatre-journal-authentique-de-1945.html"
"Perpignan Soir","Perpignan","cesse","1932","none","1930","66","none","none","none","","none","archives_66_http://presselocaleancienne.bnf.fr/ark:/12148/cb328352770"
"Le républicain du midi","Perpignan","cesse","1950","none","1944","66","none","none","none","","none","archives_66"
"La IV république","Ajaccio","cesse","1947","none","1943","2A,2B","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32846540x"
"La république du Var","Toulon","cesse","1944","none","1894","83","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32853023f"
"La république de France Comté et du territoire de Belfort","Besancon","cesse","1945","none","1944","25,9","none","none","none","","none","archives_25"
"La république sociale","Rennes","cesse","1947","none","1945","35","none","none","Organe de la démocratie de l'ouest","","none","archives_35"
"La république soir","Nimes","cesse","1946","none","1945","30","none","none","none","","none","archives_30"
"Résistance républicaine","Bayonne","cesse","1948","none","1944","64","none","none","Organe du Comité de la libération nationale","","none","archives_64"
"Le Réveil","Grenoble","none","1952","none","1944","4,5,6,7,13,26,30,38,42,69,73,74,84","none","none","none","","none","archives_38"
"Le Sampiero","Ajaccio","cesse","1892","none","1883","13,2A,2B","none","none","none","","none","archives_2A_http://presselocaleancienne.bnf.fr/ark:/12148/cb32864678t"
"Sud-est républicain","Lyon","cesse","1944","none","?","69","true,Le Nouveau Journal","1944","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32873587g"
"La tribune de l'Allier","Moulins","cesse","1930","none","1927","30","none","none","none","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32880950q"
"La tribune de Mulhouse","Mulhouse","cesse","1947","none","1945","69","none","none","none","","none","archives_69"
"La tribune de Saône et Loire","Chalons","cesse","1963","none","1944","71","none","none","none","","none","archives_71"
"L'Union républicaine","Chalons","cesse","1944","none","1882","71","none","none","none","","none","archives_71"
"Valmy","Moulins","cesse","1955","none","1944","3","true,Le Patriote","1952","none","","none","archives_03"
"La Voix de l'ouest","Rennes","cesse","1947","none","1945","35","none","none","none","","none","archives_35"
"La Voix de la patrie","Montpellier","cesse","1953","none","1943","11,12,30,34,48,66","none","none","none","","none","archives_34_http://gallica.bnf.fr/ark:/12148/cb328909293/date"
"La voix républicaine de Haute-Loire","Le_Puy_en_Velay","cesse","1951","none","1944","43","none","none","none","","none","archives_43"
"L'Aube","National","cesse","1951","none","1932","none","none","none","none","","none",""
"Bulletin économique","National","cesse","1946","none","","none","none","none","none","","none",""
"Lyon libre","Lyon","cesse","1948","none","1879","69","none","none","Organe de l'autonomie municipale et départementale","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32810067h"
"Le républicain du Sud Ouest","Anglet","hebdomadaire","1947","none","1944","64","none","none","Organe officiel régional de « ceux de la libération vengeance »","","none","archives_64"
"L'étincelle","Pau","cesse","1951","none","1933","64,4","none","none","PCF","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb32770071t"
"La Gironde populaire","Bordeaux","cesse","1948","none","1937","33","none","none","PCF","","none","http://gallica.bnf.fr/ark:/12148/cb34438555t/date"
"Le Rouge-midi","Marseille","cesse","1948","none","1930","13","none","none","PCF","","none","http://gallica.bnf.fr/ark:/12148/cb328629785/date"
"Ce soir","National","cesse","1953","none","1937","none","none","none","PCF","","1940-1944",""
"L'Humanité","National","none","2016","L'Humanité","1904","none","none","none","PCF","","none",""
"Le courrier de Metz","Metz","cesse","1922","none","1892","57","none","none","Progrès démocratique lorrain","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb327506743"
"La Marseillaise","Marseille","none","2016","La Marseillaise","1943","4,5,6,9,11,12,13,30,31,32,34,46,48,65,66,81,82,83,84","none","none","Résistance communiste","","none","http://www.lamarseillaise.fr/"
"Le Matin de Paris","National","cesse","1987","none","1987","none","none","none","Resistance française","","none",""
"Libre Poitous","Poitiers","fusion","1958","none","1940","86,67","false,Centre presse","1958","Résistance française","","none","http://gallica.bnf.fr/ark:/12148/cb344213003/date"
"La Marseillaise du Centre","Limoges","fusion","1946","none","1944","87","none","none","Résistance française","","none","archives_87_http://gallica.bnf.fr/ark:/12148/cb32811879z/date.item"
"Le renaissance républicaine du Gard","Nimes","cesse","1947","none","1906","30","none","none","Résistance française","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb328525974"
"Résistance","National","cesse","1944","none","1940","none","none","none","Résistance française","","none",""
"Le courrier picard","Amiens","none","2016","Le courrier picard","1944","2,60,80","none","none","Rossel","2009","none","http://www.courrier-picard.fr/"
"L'Est éclair","Troyes","none","2016","L'Est éclair","1945","10","none","none","Rossel","2013","none","http://www.lest-eclair.fr/"
"Libération Champagne","Troyes","none","2016","Libération Champagne","1945","10","none","none","Rossel","2013","none","http://www.liberation-champagne.fr/"
"Nord éclair","Lille","none","2016","Nord éclair","1944","59","none","none","Rossel","2004","none","http://www.nordeclair.fr/"
"Nord littoral","Calais","none","2016","Nord littoral","1944","62","none","none","Rossel","2004","none","http://www.nordlittoral.fr/"
"L'Union","Reims","none","2016","L'Union - l'Ardennais","1944","2,8,51","true,L'Ardennais","1992","Rossel","2013","none","http://www.lunion.fr/"
"La Voix du nord","Lille","none","2016","La Voix du nord","1941","59,62","none","none","Rossel","2004","none","http://www.lavoixdunord.fr/"
"Le Bordeaux matin","Bordeaux","cesse","1947","none","1917","33","false,Bordeaux-midi","1945","SFIO","","none","http://catalogue.bnf.fr/ark:/12148/cb32715103k"
"La Bourgogne républicaine","Dijon","fusion","1958","Les dépêches","1937","21,25,39,70,71,90","true, Les Dépêches","1958","SFIO","","none","http://www3.bienpublic.com/dossiers/minisites/retro/20eme/1937.html"
"Les dépêches","Dijon","fusion","1992","Le Bien public","1958","21,25,39,70,71,90","true, Le Bien Public","1958","SFIO","","none","http://data.bnf.fr/34367783/les_depeches__ed__de_la_cote_d_or_/"
"La Presse libre","Strasbourg","cesse","1958","none","1944","24","none","none","SFIO","","none","http://presselocaleancienne.bnf.fr/ark:/12148/cb344456516"
"Le Populaire","National","cesse","1970","none","1927","none","none","none","SFIO","","none",""
"Libération","National","none","2016","Libération","1973","none","none","none","SFR","","none",""
"Le courrier de l'ouest","Angers","none","2016","Le courrier de l'ouest","1944","49,79","none","none","Sipa Ouest-France","2008","none","http://www.courrierdelouest.fr/"
"Le Maine libre","Le_Mans","none","2016","Le Maine libre","1944","61,72","none","none","Sipa Ouest-France","2005","none","http://www.lemainelibre.fr/"
"Ouest France","Rennes","none","2016","Ouest France","1944","17,75,77,78,91,92,93,94,95,76,14,27,50,61,85,44,49,53,72,56,22,29,35,23,24,33,40,47,64,79,86,87,16,14,19","none","none","Sipa Ouest-France","1990","none","http://www.ouest-france.fr/"
"Presse Cherbourgeoise","Cherbourg","none","2016","Presse de la Manche","1944","50","false,Presse de la Manche","1953","Sipa Ouest-France","1990","none","http://www.lapressedelamanche.fr/"
"La résistance de l'ouest","Nantes","none","2016","Presse océan","1945","44","none","none","Sipa Ouest-France","2005","none","http://www.presseocean.fr/"
"Le Progrès de Fécamp et des cantons limitrophes","Fecamp","fusion","none","none","1944","76,27","none","none","SNIC (Société normande d'information et de communication)","2012","none"," archives_76_http://catalogue.bnf.fr/ark:/12148/cb32843914r"
"Le Havre libre","Le_Havre","none","2016","Le Havre libre","1945","14,76","none","none","SNIC (Société normande d'information et de communication)","2012","none","http://fr.kiosko.net/fr/np/havrelibre.html"
"Normandie","Deville_les_rouen","none","2016","Paris-Normandie","1944","27,76","false,Paris Normandie","1947","SNIC (Société normande d'information et de communication)","2012","none","http://www.paris-normandie.fr/"
"La Charente libre","Angouleme","none","2016","La Charente libre","1944","16,17,24,33,75,86,87","none","none","Sud Ouest","1960","none","http://www.charentelibre.fr/charente/angouleme/"
"La Dordogne libre","Perigueux","none","2016","La Dordogne libre","1944","24","none","none","Sud Ouest","1960","none","http://www.dordognelibre.fr/"
"La Ivème République des Pyrénées","Pau","none","2016","La république des Pyrénées","1944","64","false,La République des Pyrénées","1958","Sud Ouest","1975","none","http://www.larepubliquedespyrenees.fr/"
"Sud-ouest","Bordeaux","none","2016","Sud-ouest","1944","16,17,24,32,33,40,47,64","none","none","Sud Ouest","1960","none","http://www.sudouest.fr/"
"L'éclair des Pyrénées","Pau","none","2016","L'éclair des Pyrénées","","64","none","none","Sud Ouest","1975","none","http://www.larepubliquedespyrenees.fr/"
"Direct Matin Bordeaux 7 ","Bordeaux","none","2016","none","2004","33","none","none","Sud Ouest","2004","none","http://www.bordeaux7.com/"
"La dépêche démocratique","Saint_etienne","fusion","1946","none","1944","42","true,La Dépêche de la Liberté","1946","","","none","http://catalogue.bnf.fr/ark:/12148/cb32756056z"
"La liberté","Lyon","cesse","1849","none","","none","","none","","","none",""
"Le Patriote de Nice et du Sud Ouest","Nice","hebdomaire","1967","none","1944","6","false,Le Patriote Côte d'Azur","1945","","","none",""
"Le Provençal","Marseille","fusion","1997","none","1944","4,5,13,84","true,La Provence","1997","","","none","http://www.laprovence.com/"
"Cité soir","National","cesse","1946","none","","none","none","none","","","none",""
"La Côte Desfosses","National","fusion","1992","La Tribune (web)","1824","none","true,La Tribune","1992","","","none",""
"La Dépêche de Paris","National","cesse","","none","","none","none","none","","","none",""
"L'époque","National","cesse","1950","none","","none","none","none","","","none",""
"France soir","National","cesse","2011","France soir l'e-mag","1944","none","false,France soir le mag","2013","","","2011-2013","BNF"
"L'Ordre","National","cesse","1947","none","","none","none","none","","","none",""
"Paris matin","National","fusion","1948","none","","none","none","none","","","none",""
"Le Pays","Porrentruy","fusion","1993","none","1923","none","true,Le Démocrate","1993","","","none",""
"Sans fil","National","cesse","none","none","","none","none","none","","","none",""
"La Vie française","National","cesse","2008","La Vie financière","1945","none","true,La Vie financière","1994","","","none",""