"ID","it_x","it_y","mur"
"0","0","0","true"
"1","0","1","true"
"2","0","2","true"
"3","0","3","true"
"4","0","4","true"
"5","0","5","true"
"6","0","6","true"
"7","0","7","true"
"8","0","8","true"
"9","0","9","true"
"10","0","10","true"
"11","0","11","true"
"12","0","12","true"
"13","0","13","true"
"14","0","14","true"
"15","0","15","true"
"16","0","16","true"
"17","0","17","true"
"18","0","18","true"
"19","0","19","true"
"20","1","0","true"
"21","1","1","false"
"22","1","2","false"
"23","1","3","false"
"24","1","4","false"
"25","1","5","false"
"26","1","6","false"
"27","1","7","false"
"28","1","8","false"
"29","1","9","false"
"30","1","10","false"
"31","1","11","false"
"32","1","12","false"
"33","1","13","true"
"34","1","14","false"
"35","1","15","false"
"36","1","16","true"
"37","1","17","false"
"38","1","18","false"
"39","1","19","true"
"40","2","0","true"
"41","2","1","false"
"42","2","2","true"
"43","2","3","true"
"44","2","4","true"
"45","2","5","false"
"46","2","6","true"
"47","2","7","true"
"48","2","8","true"
"49","2","9","true"
"50","2","10","true"
"51","2","11","true"
"52","2","12","false"
"53","2","13","true"
"54","2","14","true"
"55","2","15","false"
"56","2","16","true"
"57","2","17","true"
"58","2","18","false"
"59","2","19","true"
"60","3","0","true"
"61","3","1","false"
"62","3","2","true"
"63","3","3","false"
"64","3","4","false"
"65","3","5","false"
"66","3","6","false"
"67","3","7","false"
"68","3","8","false"
"69","3","9","false"
"70","3","10","false"
"71","3","11","false"
"72","3","12","false"
"73","3","13","false"
"74","3","14","true"
"75","3","15","false"
"76","3","16","true"
"77","3","17","false"
"78","3","18","false"
"79","3","19","true"
"80","4","0","true"
"81","4","1","false"
"82","4","2","true"
"83","4","3","false"
"84","4","4","true"
"85","4","5","true"
"86","4","6","false"
"87","4","7","true"
"88","4","8","true"
"89","4","9","true"
"90","4","10","true"
"91","4","11","true"
"92","4","12","true"
"93","4","13","false"
"94","4","14","true"
"95","4","15","false"
"96","4","16","true"
"97","4","17","false"
"98","4","18","true"
"99","4","19","true"
"100","5","0","true"
"101","5","1","false"
"102","5","2","true"
"103","5","3","false"
"104","5","4","true"
"105","5","5","true"
"106","5","6","false"
"107","5","7","true"
"108","5","8","false"
"109","5","9","false"
"110","5","10","false"
"111","5","11","false"
"112","5","12","true"
"113","5","13","false"
"114","5","14","false"
"115","5","15","false"
"116","5","16","false"
"117","5","17","false"
"118","5","18","false"
"119","5","19","true"
"120","6","0","true"
"121","6","1","false"
"122","6","2","true"
"123","6","3","false"
"124","6","4","true"
"125","6","5","true"
"126","6","6","false"
"127","6","7","true"
"128","6","8","true"
"129","6","9","false"
"130","6","10","true"
"131","6","11","false"
"132","6","12","true"
"133","6","13","false"
"134","6","14","true"
"135","6","15","true"
"136","6","16","true"
"137","6","17","true"
"138","6","18","false"
"139","6","19","true"
"140","7","0","true"
"141","7","1","false"
"142","7","2","true"
"143","7","3","false"
"144","7","4","false"
"145","7","5","false"
"146","7","6","false"
"147","7","7","false"
"148","7","8","false"
"149","7","9","false"
"150","7","10","true"
"151","7","11","true"
"152","7","12","true"
"153","7","13","false"
"154","7","14","false"
"155","7","15","false"
"156","7","16","false"
"157","7","17","false"
"158","7","18","false"
"159","7","19","true"
"160","8","0","true"
"161","8","1","false"
"162","8","2","true"
"163","8","3","true"
"164","8","4","true"
"165","8","5","false"
"166","8","6","true"
"167","8","7","false"
"168","8","8","true"
"169","8","9","false"
"170","8","10","false"
"171","8","11","false"
"172","8","12","false"
"173","8","13","false"
"174","8","14","true"
"175","8","15","true"
"176","8","16","true"
"177","8","17","true"
"178","8","18","false"
"179","8","19","true"
"180","9","0","true"
"181","9","1","false"
"182","9","2","false"
"183","9","3","false"
"184","9","4","false"
"185","9","5","false"
"186","9","6","true"
"187","9","7","false"
"188","9","8","true"
"189","9","9","false"
"190","9","10","true"
"191","9","11","true"
"192","9","12","true"
"193","9","13","false"
"194","9","14","true"
"195","9","15","false"
"196","9","16","false"
"197","9","17","false"
"198","9","18","false"
"199","9","19","true"
"200","10","0","true"
"201","10","1","false"
"202","10","2","true"
"203","10","3","true"
"204","10","4","true"
"205","10","5","true"
"206","10","6","true"
"207","10","7","true"
"208","10","8","true"
"209","10","9","false"
"210","10","10","true"
"211","10","11","true"
"212","10","12","true"
"213","10","13","false"
"214","10","14","true"
"215","10","15","false"
"216","10","16","true"
"217","10","17","false"
"218","10","18","true"
"219","10","19","true"
"220","11","0","true"
"221","11","1","false"
"222","11","2","false"
"223","11","3","false"
"224","11","4","false"
"225","11","5","false"
"226","11","6","false"
"227","11","7","false"
"228","11","8","false"
"229","11","9","false"
"230","11","10","false"
"231","11","11","false"
"232","11","12","false"
"233","11","13","false"
"234","11","14","false"
"235","11","15","false"
"236","11","16","true"
"237","11","17","false"
"238","11","18","false"
"239","11","19","true"
"240","12","0","true"
"241","12","1","true"
"242","12","2","true"
"243","12","3","false"
"244","12","4","true"
"245","12","5","true"
"246","12","6","true"
"247","12","7","true"
"248","12","8","true"
"249","12","9","true"
"250","12","10","true"
"251","12","11","true"
"252","12","12","true"
"253","12","13","true"
"254","12","14","true"
"255","12","15","false"
"256","12","16","true"
"257","12","17","false"
"258","12","18","true"
"259","12","19","true"
"260","13","0","true"
"261","13","1","false"
"262","13","2","false"
"263","13","3","false"
"264","13","4","true"
"265","13","5","false"
"266","13","6","false"
"267","13","7","false"
"268","13","8","true"
"269","13","9","false"
"270","13","10","false"
"271","13","11","false"
"272","13","12","false"
"273","13","13","false"
"274","13","14","false"
"275","13","15","false"
"276","13","16","false"
"277","13","17","false"
"278","13","18","false"
"279","13","19","true"
"280","14","0","true"
"281","14","1","false"
"282","14","2","true"
"283","14","3","false"
"284","14","4","false"
"285","14","5","false"
"286","14","6","true"
"287","14","7","false"
"288","14","8","false"
"289","14","9","false"
"290","14","10","false"
"291","14","11","true"
"292","14","12","true"
"293","14","13","true"
"294","14","14","false"
"295","14","15","true"
"296","14","16","false"
"297","14","17","true"
"298","14","18","false"
"299","14","19","true"
"300","15","0","true"
"301","15","1","true"
"302","15","2","true"
"303","15","3","true"
"304","15","4","true"
"305","15","5","true"
"306","15","6","true"
"307","15","7","true"
"308","15","8","false"
"309","15","9","true"
"310","15","10","false"
"311","15","11","true"
"312","15","12","false"
"313","15","13","true"
"314","15","14","false"
"315","15","15","true"
"316","15","16","false"
"317","15","17","true"
"318","15","18","false"
"319","15","19","true"
"320","16","0","true"
"321","16","1","false"
"322","16","2","false"
"323","16","3","false"
"324","16","4","false"
"325","16","5","false"
"326","16","6","false"
"327","16","7","false"
"328","16","8","false"
"329","16","9","true"
"330","16","10","false"
"331","16","11","false"
"332","16","12","false"
"333","16","13","true"
"334","16","14","false"
"335","16","15","true"
"336","16","16","false"
"337","16","17","false"
"338","16","18","false"
"339","16","19","true"
"340","17","0","true"
"341","17","1","false"
"342","17","2","true"
"343","17","3","false"
"344","17","4","true"
"345","17","5","true"
"346","17","6","true"
"347","17","7","true"
"348","17","8","true"
"349","17","9","true"
"350","17","10","false"
"351","17","11","true"
"352","17","12","false"
"353","17","13","true"
"354","17","14","false"
"355","17","15","true"
"356","17","16","false"
"357","17","17","true"
"358","17","18","false"
"359","17","19","true"
"360","18","0","true"
"361","18","1","false"
"362","18","2","false"
"363","18","3","false"
"364","18","4","true"
"365","18","5","false"
"366","18","6","false"
"367","18","7","false"
"368","18","8","false"
"369","18","9","false"
"370","18","10","false"
"371","18","11","true"
"372","18","12","false"
"373","18","13","false"
"374","18","14","false"
"375","18","15","true"
"376","18","16","false"
"377","18","17","false"
"378","18","18","false"
"379","18","19","true"
"380","19","0","true"
"381","19","1","true"
"382","19","2","true"
"383","19","3","true"
"384","19","4","true"
"385","19","5","true"
"386","19","6","true"
"387","19","7","true"
"388","19","8","true"
"389","19","9","true"
"390","19","10","true"
"391","19","11","true"
"392","19","12","true"
"393","19","13","true"
"394","19","14","true"
"395","19","15","true"
"396","19","16","true"
"397","19","17","true"
"398","19","18","true"
"399","19","19","true"