"variable_form","variable","Description","type","famille","position","site","go_to_request"
"nom_cheminee","nomChem","Elément particulier de la cheminée : ","texte","Général","avant","non","oui"
"nom_site_historique","nomSitHist","Nom historique du site : ","texte","Général","avant","oui","oui"
"nom_site_usage","nomSitUsa","Nom d'usage du site : ","texte","Général","avant","oui","oui"
"id","id","","invisible","Général","avant","non","non"
"adresse","adresse","Adresse : ","texte","Général","avant","non","oui"
"commune","commune","Commune : ","texte","Général","avant","non","non"
"region","region","Région : ","texte","Général","avant","non","non"
"pays","pays","Pays : ","texte","Général","avant","non","oui"
"dateaj","dateaj","Date d'ajout : ","texte","Général","avant","non","non"
"nbr_photo_ind","nbPhInd","","invisible","Général","avant","non","non"
"nbr_photo_site","nbPhSit","","invisible","Général","avant","oui","non"
"nbr_cheminees","nbrChem"," cheminée(s) sur le site","nombre","Général","apres","oui","oui"
"auteur","auteur","Auteur : ","texte","Général","avant","non","non"
"verr","verr","Cheminée verrouillée donc non suppressible","booleen","Général","avant","non","non"
"bati_industriel","batiIndus","Présence de bâti industriel","booleen","Description","avant","non","oui"
"particularite_architecturale_site","archiSite","Particularités architecturales et décoratives du bâti : ","cochage","Description","avant","oui","oui"
"etat_site","etatSite","Etat du site : ","selecteur","Description","avant","oui","oui"
"etat_cheminee","etatChem","Etat de la cheminée : ","selecteur","Description","avant","non","oui"
"ajout_contemporain","ajoutCont","Ajout(s) contemporains de la cheminée : ","cochage","Description","avant","non","oui"
"visibilite_appreciation","visAppre","Visibilité de la cheminée dans le paysage depuis l'espace public : ","fam","Description","avant","non","oui"
"visibilite_commentaire","visComm","Commentaire(s) : ","in_fam","Description","avant","non","oui"
"hauteur_distance","hauteurPr","Hauteur de la cheminée (précise) : ","texte","Description","avant","non","oui"
"hauteur_estimation","hauteurEs","Hauteur de la cheminée (estimation) : ","texte","Description","avant","non","oui"
"particularite_architecturale_cheminee","archiChem","Particularité(s) architecturale(s) et décorative(s) de la cheminée: ","cochage","Description","avant","non","oui"
"materiau_cheminee","materChem","Principal matériau de construction de la cheminée : ","selecteur","Description","avant","non","oui"
"formefut","formefut","Forme du fût : ","selecteur","Description","avant","non","oui"
"usage_historique","usHist","Usage historique du site : ","cochage","Usage","avant","oui","oui"
"usage_actuel","usActu","Usage actuel du site : ","cochage","Usage","avant","oui","oui"
"reconversion","reconv","Le site est : ","selecteur","Usage","avant","oui","oui"
"occupation","occup"," occupé","selecteur","Usage","apres","oui","oui"
"type_proprietaire_chem","typeProCh","Type de propriétaire de la cheminée : ","selecteur","Usage","avant","non","oui"
"type_proprietaire_site","typeProSi","Type de propriétaire du site : ","selecteur","Usage","avant","oui","oui"
"informations_historiques","infoHist","Information(s) historique(s) : ","texte","Histoire","avant","oui","oui"
"protection_site","ptcSite","Protection du site : ","cochage","protection","avant","oui","oui"
"protection_cheminee","ptcChem","Protection de la cheminée : ","cochage","protection","avant","non","oui"
"projet_amenagement_site_actuel","amSiteA","Projet(s) d'aménagement en cours sur le site : ","texte","Transformation","avant","oui","oui"
"projet_amenagement_cheminee_actuel","amChemA","Projet(s) d'aménagement en cours sur la cheminée : ","texte","Transformation","avant","non","oui"
"projet_amenagement_site_avenir","amSiteV","Projet(s) d'aménagement à venir sur le site : ","texte","Transformation","avant","oui","oui"
"projet_amenagement_cheminee_avenir","amChemV","Projet(s) d'aménagement à venir sur la cheminée : ","texte","Transformation","avant","non","oui"
"projet_valorisation_site","valSite","Projet(s) de valorisation et d'animation sur le site : ","texte","Transformation","avant","oui","oui"
"projet_valorisation_cheminee","valChem","Projet(s) de valorisation et d'animation en cours sur la cheminée : ","texte","Transformation","avant","non","oui"
"nom_perso","nomPerso","","texte","Chemineurs","avant","non","oui"
"prenom","prenom","","texte","Chemineurs","avant","non","oui"
"nom_structure","nomStru","","texte","Chemineurs","avant","non","oui"
"objet","objet","Objet de la structure/ motivations: ","texte","Chemineurs","avant","non","oui"
"territoire","territoire","Lieu ou territoire d'intervention/de prédilection : ","texte","Chemineurs","avant","non","oui"
"cheminees","cheminees","","invisible","Chemineurs","avant","non","oui"
"actions","actions","Types d'actions menées/envisagées autour des cheminées d'usine: ","texte","Chemineurs","avant","non","oui"
"agenda","agenda","Votre agenda d'actions récurrentes ou ponctuelles sur l'année :","texte","Chemineurs","avant","non","oui"
"envie_propo","envieProp","Vos envies ou propositions : ","texte","Chemineurs","avant","non","oui"
"mail","mail","","invisible","Chemineurs","avant","non","oui"
"tel","tel","","invisible","Chemineurs","avant","non","oui"
"adresse","adresse","","invisible","Chemineurs","avant","non","oui"
"code_postal","codePost","","invisible","Chemineurs","avant","non","oui"
"commune","commune","","invisible","Chemineurs","avant","non","oui"
"site_web","siteWeb","Site web : ","texte","Chemineurs","avant","non","oui"
"identifiant","identi","Identifiant : ","texte","Chemineurs","avant","non","oui"
"motdepasse","mdp","Mot de passe : ","invisible","Chemineurs","avant","non","oui"
"id_comm","id_comm","","invisible","communes","avant","","oui"
"nbr_chem","nbr_chem","","invisible","communes","avant","","oui"
"nbr_site","nbr_site","","invisible","communes","avant","","oui"
"name","name","","invisible","communes","avant","","oui"
"dept","dept","","invisible","communes","avant","","oui"
"nuts_id","nuts_id","","invisible","nuts","avant","","oui"
"nbr_chem","nbr_chem","","invisible","nuts","avant","","oui"
"nbr_site","nbr_site","","invisible","nuts","avant","","oui"
"name","name","","invisible","nuts","avant","","oui"