"variable","Description","type","famille","avant"
"id","","Texte","invisible","avant"
"adresse","Adresse :","fam","Général","avant"
"commune","<br>","in_fam","Général","avant"
"region","<br>","in_fam","Général","avant"
"pays","<br>","in_fam","Général","avant"
"nbPhInd","","Nombre entier","invisible","avant"
"nbPhSit","","Nombre entier","invisible","avant"
"nomChem","Nom de la cheminée :","unique","Général","avant"
"nomSitHist","Nom historique du site :","unique","Général","avant"
"nomSitUsa","Nom d'usage du site :","unique","Général","avant"
"nbrChem"," cheminée(s) sur le site","nombre","Général","apres"
"batiIndus","Présence de bâti industriel","booleen","Description","avant"
"archiSite","Particularités architecturales et décoratives du bâti :","unique","Description","avant"
"etatSite","Cheminée en ","selecteur","Description","avant"
"etatChem","Cheminée en ","selecteur","Description","avant"
"ajoutCont","Ajout(s) contemporains de la cheminée :","cochage","Description","avant"
"visAppre","Visibilité de la cheminée dans le paysage depuis l'espace public :","fam","Description","avant"
"visComm","","in_fam","Description","avant"
"hauteurPr","Hauteur de la cheminée :","nombre","Description","avant"
"hauteurEs","Hauteur de la cheminée :","intervalle","Description","avant"
"archiChem","Particularité(s) architecturale(s) et décorative(s) de la cheminée:","cochage","Description","avant"
"materChem","Matériau(x) de la cheminée :","cochage","Usage","avant"
"usHist","Usage historique du site :","cochage","Usage","avant"
"usActu","Usage actuel du site :","cochage","Usage","avant"
"reconv","Le site est : ","selecteur","Usage","avant"
"occup"," occupé","selecteur","Usage","apres"
"typePropr","La propriété d'u","selecteur","Usage","avant"
"infoHist","Information(s) historique(s) :","texte_libre","Histoire","avant"
"ptcSite","Protection du site :","cochage","Protection","avant"
"ptcChem","Protection de la cheminée :","cochage","Protection","avant"
"amSiteA","Projet(s) d'aménagement en cours sur le site :","booleen","Transformation","avant"
"amSiteA_D","","in_bool","Transformation","avant"
"amChemA","Projet(s) d'aménagement en cours sur la cheminée :","booleen","Transformation","avant"
"amChemA_D","","in_bool","Transformation","avant"
"amSiteV","Projet(s) d'aménagement à venir sur le site :","booleen","Transformation","avant"
"amSiteV_D","","in_bool","Transformation","avant"
"amChemV","Projet(s) d'aménagement à venir sur la cheminée :","booleen","Transformation","avant"
"amChemV_D","","in_bool","Transformation","avant"
"valSite","Projet(s) de valorisation et d'animation sur le site :","booleen","Transformation","avant"
"valSiteD","","in_bool","Transformation","avant"
"valChem","Projet(s) de valorisation et d'animation en cours sur la cheminée :","booleen","Transformation","avant"
"valChemD","","in_bool","Transformation","avant"