"code","nom","visa_free","visa_arrival","visa_eTA"
"HR","Croatia","AL_AD_AG_AR_AM_AT_BS_ST_BB_BE_BZ_BO_BA_BW_BR_BG_CL_CO_CR_CY_CZ_DK_DM_DO_EC_SV_EE_FI_FR_GM_GE_DE_GR_GD_GT_HT_HN_HK_HU_IS_ID_IE_IL_IT_JP_RK_KG_LV_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_RO_WS_SM_SN_RS_SG_SK_SI_SB_KR_ES_VC_SZ_SE_CH_TW_TL_TO_TT_TN_TV_UA_AE_UY_VU_VA_VE_UK_BY_BN_KZ_KI_FM_PS_QA_KN_LC","BD_KH_CV_KM_DJ_EG_GW_IR_JM_JO_KE_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_TJ_TZ_TG_TR_UG_ZM_BJ_GA_KW_RW_ZW_SO_BH","CA_LK_CI_IN"
"CU","Cuba","AG_BB_BY_BW_DM_GM_GD_GN_GY_ID_KG_MK_MY_FM_MN_ME_NA_PS_QA_RU_RS_KN_LC_VC_TT_VU_SG","AM_BD_BJ_BO_BF_KH_CV_KM_DJ_EG_GW_IR_KE_LA_MO_MG_MV_MR_MU_MZ_NP_PW_RW_WS_SC_SO_SR_TJ_TZ_TL_TG_TV_UG_ZM_ZW","CI_IN_LK"
"CY","Cyprus","AL_AD_AG_AR_AM_AT_BS_ST_BB_BE_BZ_BA_BW_BR_BN_BG_CL_CO_CR_HR_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KE_KI_RK_LV_LS_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TZ_TL_TO_TT_TV_UG_UA_AE_UY_VU_VA_VE_ZM_ZW_UK_BY_KZ_FM_PS","BD_BO_KH_CV_KM_DJ_EG_GW_IR_JO_KW_KG_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_TJ_TH_TG_TR_BJ_GA_RW_SO_BH","CA_LK_CI_IN"
"CZ","Czechia","AL_AD_AG_AR_AM_AT_BS_ST_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KI_RK_KG_LV_LS_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_RO_WS_SM_SN_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TR_TV_UA_AE_UY_VU_VA_VE_UK_BY_KZ_FM_PS_QA","BD_BF_KH_CV_KM_DJ_EG_ET_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_SR_TJ_TZ_TG_UG_ZM_ZW_BJ_GA_RW_SO_BH","CA_LK_US_CI_IN"
"DK","Denmark","AL_AD_AG_AR_AM_AT_BS_ST_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KI_RK_KG_LA_LV_LS_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_SN_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TR_TV_UA_AE_UY_VU_VA_VE_VN_UK_BY_KZ_FM_PS","BD_BF_KH_CV_KM_DJ_EG_ET_GW_IR_JO_KE_KW_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_SR_TJ_TZ_TG_UG_ZM_ZW_BJ_GA_RW_SO_BH","AU_CA_LK_US_CI_IN"
"DJ","Djibouti","BJ_DM_EC_ET_HT_HK_FM_PH_SN_VC_SG","BD_BO_BF_KH_CV_KM_GH_GW_KE_LA_LB_MO_MG_MV_MR_MU_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TL_TG_TR_TV_UG_ZM_IR","CI_IN_LK"
"DM","Dominica","AG_AT_BS_BB_BY_BE_BZ_BA_BW_BR_BG_CO_CR_HR_CU_CY_CZ_DK_DO_EC_EE_FJ_FI_FR_GM_DE_GR_GD_GY_HK_HU_IS_ID_IE_IL_IT_JM_KE_RK_LV_LS_LI_LT_LU_MO_MW_MY_MT_MU_FM_MC_ME_NL_NO_PS_PA_PE_PH_PL_PT_RO_SM_SK_SI_KR_ES_KN_LC_VC_SR_SZ_SE_CH_TZ_TT_UK_UY_VU_VA_VE_ZM_AD_SG_HT","AM_BD_BJ_BO_KH_CV_KM_DJ_EG_GW_IR_LA_MG_MV_MR_MZ_NP_NI_PW_RW_WS_SC_SB_SO_TL_TG_TO_TR_TV_UG_JO_UA","CI_IN_LK"
"DO","Dominican Republic","BZ_BW_CO_EC_SV_GM_GE_GD_GT_GY_HK_ID_IL_JP_MY_FM_PS_PE_PH_QA_KR_TW_TT_SG","AM_BD_BJ_BO_KH_CV_KM_DJ_EG_GW_IR_KE_LA_LB_MO_MG_MW_MV_MR_MU_MZ_NP_NI_PW_RW_WS_SC_SB_SO_SR_TZ_TL_TG_TR_TV_UG_ZM_ZW_JO","CI_IN_LK"
"EC","Ecuador","AR_BS_BY_BZ_BO_BR_CL_CN_CO_DM_DO_SV_GM_GE_GY_HT_HN_HK_ID_IL_JM_KZ_MY_FM_MD_ME_NI_PS_PA_PY_PE_PH_QA_RU_ZA_KR_KN_VC_TT_TR_UY_VE_SG","AM_BD_BJ_KH_CV_KM_DJ_EG_GW_IR_KE_LA_MO_MG_MW_MV_MR_MU_MZ_NP_OM_PW_PG_RW_WS_SC_SO_LC_SR_TZ_TL_TG_TV_UG_ZM_ZW_JO_BH","CI_IN_LK"
"EG","Egypt","BJ_DM_EC_GN_HT_HK_ID_JO_MO_MY_MU_FM_PS_SN_KR_KN_VC_IR","BO_BF_KH_CV_KM_DJ_GH_GW_KE_LA_LB_MG_MV_MH_MR_MZ_NP_NI_PW_RW_WS_SC_SO_TJ_TZ_TL_TG_TR_TV_UG_YE_ZW","CI"
"SV","El Salvador","AL_AR_AT_BS_BB_BY_BE_BZ_BA_BR_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_EE_FI_FR_GE_DE_GR_GT_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_RK_LV_LI_LT_LU_MK_MY_MT_FM_MC_ME_NL_NI_NO_PS_PA_PY_PH_PL_PT_RO_RU_SM_SN_SK_SI_KR_ES_KN_VC_SE_CH_TW_TT_TR_UK_UY_VA_AD_SG","AM_BD_BJ_BO_KH_CV_KM_DJ_GW_IR_KE_LA_MO_MG_MW_MV_MR_MU_MZ_NP_PW_RW_WS_SC_SO_LC_SR_TZ_TL_TG_TV_UG_UA_ZM_ZW_JO","CI_IN_LK"
"GQ","Equatorial Guinea","BJ_CM_CF_TD_CG_DM_EC_HT_HK_FM_PS_PH_ST_VC_TN_SG","BD_BO_KH_CV_KM_DJ_GH_GW_KE_LA_MO_MG_MW_MV_MR_MU_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TL_TG_TR_TV_UG_ZW_IR","CI_LK"
"ER","Eritrea","BJ_DM_HT_FM_PH_VC_UG_SG","BD_BO_BF_KH_CV_KM_DJ_GH_GW_LA_MO_MG_MV_MR_MU_MZ_NP_PW_RW_WS_SC_SO_TL_TG_TR_TV_ZM_IR","CI_IN_LK"
"EE","Estonia","AL_AD_AG_AR_AM_AT_BS_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_FJ_FI_FR_GE_DE_GR_GD_GT_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KI_RK_KG_LV_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_RO_WS_SM_SN_RS_SG_SK_SI_SB_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TR_TV_UA_AE_UY_VU_VA_VE_UK_BY_KZ_FM_PS_QA_ST","BD_BF_KH_CV_KM_DJ_EG_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_SR_TJ_TZ_TG_UG_ZM_BJ_GA_RW_ZW_SO_BH","CA_LK_US_CI_IN"
"ET","Ethiopia","BJ_DM_HT_KE_FM_PH_SN_VC_SG","BD_BO_KH_CV_KM_DJ_GH_GW_LA_MO_MG_MV_MR_MU_MZ_NI_PW_RW_WS_SC_SO_LC_TH_TL_TG_TR_TV_UG_ZW_IR","CI_LK"
"FJ","Fiji","BR_BZ_BB_BD_BS_AR_AG_CL_CN_CO_CR_DM_DO_EC_SV_GM_GT_HT_HK_ID_IE_IL_JM_KE_KI_RK_MW_MY_MU_FM_NI_PS_PA_PE_PH_RU_SN_SG_KR_KN_LC_VC_TN_UG_VU_ZM_ZW","CV_KH_BO_BJ_AM_KM_DJ_EG_GW_IR_JO_LA_MO_MG_MV_MH_MR_MZ_NR_NP_PW_PG_RW_WS_SC_SB_SO_TZ_TH_TL_TG_TO_TR_TV","CI_IN_LK"
"FI","Finland","AL_AD_AG_AR_AM_AT_BS_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FR_GM_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KZ_KI_RK_KG_LA_LV_LS_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_SN_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TR_TV_UA_AE_UY_VU_VA_VE_VN_UK_BY_FM_PS_ST","BD_BF_KH_CV_KM_DJ_EG_ET_GW_IR_JO_KE_KW_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_SR_TJ_TZ_TG_UG_ZM_ZW_BJ_GA_RW_SO_BH","AU_CA_LK_US_CI_IN"
"FR","France","AL_AD_AG_AR_AM_AT_BS_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_GE_DE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KZ_KI_RK_KG_LV_LS_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_SN_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TR_TV_UA_AE_UY_VU_VA_VE_VN_UK_BY_FM_PS_ST","BD_BF_KH_CV_KM_DJ_EG_ET_GM_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_SR_TJ_TZ_TG_UG_ZM_ZW_BJ_GA_RW_SO_BH","AU_CA_LK_US_CI_IN"
"GA","Gabon","BD_BJ_CM_CF_TD_CG_DM_EC_GQ_HT_HK_ID_MY_MU_FM_MA_PA_PH_ST_SN_ZA_VC_TN_SG","BO_KH_CV_KM_DJ_GH_GW_KE_LA_MO_MG_MW_MV_MR_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TZ_TL_TG_TR_TV_UG_IR","CI_IN"
"GM","Gambia","BS_BD_BB_BZ_BJ_BW_BF_CV_CI_DM_EC_FJ_GH_GD_GN_GW_HT_ID_JM_KE_LS_LR_MW_MY_ML_MR_MU_FM_NE_NG_PH_SN_SL_KN_VC_SZ_TZ_TG_TT_TN_UG_VU_SG","BO_KH_KM_DJ_LA_MO_MG_MV_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TL_TR_TV_IR","IN_LK"
"GE","Georgia","AG_AR_AM_AT_AZ_BS_BB_BY_BE_BA_BR_BG_CL_CO_HR_CY_CZ_DK_DM_EC_EE_FI_FR_DE_GR_HT_HU_IS_ID_IR_IL_IT_KZ_KG_LV_LI_LT_LU_MY_MT_FM_MD_MC_NL_NO_PS_PA_PL_PT_QA_RO_SM_RS_SK_SI_ES_LC_VC_SE_CH_TJ_TR_TM_UA_AE_UY_UZ_VA_AD","BD_BJ_BO_KH_CV_KM_DJ_EG_GW_JM_JO_KE_KW_LA_LB_MO_MG_MW_MV_MH_MR_MU_MZ_NP_NI_PW_RW_WS_SC_SO_TL_TG_TV_UG_ZM_ZW","CI_IN_LK"
"DE","Germany","AL_AD_AG_AR_AM_AT_BS_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_GR_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KZ_KI_RK_KG_LV_LS_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_MN_ME_MA_NA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_SN_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TR_TV_UA_AE_UY_VU_VA_VE_VN_UK_BY_FM_PS_ST","BD_BF_KH_CV_KM_DJ_EG_ET_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_RW_SC_SR_TJ_TZ_TG_UG_ZM_ZW_BJ_GA_SO_BH","AU_CA_LK_US_CI_IN"
"GH","Ghana","SG_BD_BB_BZ_BJ_BF_CV_CI_DM_EC_FJ_GM_GD_GN_GW_HT_ID_JM_KE_LR_ML_MU_FM_NE_NG_PH_RW_SN_SL_KN_VC_SZ_TZ_TG_TT_UG_VU_ZW","BO_KH_KM_DJ_LB_MO_MG_MV_MR_MZ_NI_PW_WS_SC_SO_LC_TL_TR_TV_ZM_IR","IN"
"GR","Greece","AL_AD_AG_AR_AM_AT_BS_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GD_GT_GY_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_KI_RK_KG_LV_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_SN_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TR_TV_UA_AE_UY_VU_VA_VE_UK_BY_KZ_FM_PS_ST","BD_BF_KH_CV_KM_DJ_EG_ET_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_SR_TJ_TZ_TG_UG_ZM_ZW_BJ_GA_RW_SO_BH","AU_CA_LK_US_CI_IN"
"GD","Grenada","AG_AR_AT_BS_BD_BB_BE_BZ_BA_BW_BR_BG_CL_CN_CO_CR_HR_CU_CY_CZ_DK_DM_DO_EC_EE_FJ_FI_FR_GM_DE_GR_GY_HT_HK_HU_IS_ID_IE_IL_IT_JM_KE_KI_RK_LV_LS_LI_LT_LU_MO_MW_MY_MT_MU_FM_MC_ME_NL_NO_PS_PA_PE_PH_PL_PT_RO_RU_SM_SN_SK_SI_KR_ES_KN_LC_VC_SR_SZ_SE_CH_TZ_TT_UG_UK_UY_VU_VA_VE_ZM_ZW_AD_SG","AM_BJ_BO_KH_CV_KM_DJ_EG_GW_IR_LA_MG_MV_MR_MZ_NP_NI_PW_RW_WS_SC_SB_SO_TL_TG_TR_TV_UA_JO","CI_IN_LK"
"GT","Guatemala","AL_AR_AT_BS_BE_BZ_BA_BR_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FI_FR_DE_GR_HT_HN_HK_HU_IS_ID_IE_IL_IT_JM_JP_RK_LV_LI_LT_LU_MK_MY_MT_FM_MC_ME_NL_NI_NO_PS_PA_PY_PE_PH_PL_PT_RO_RU_SM_SN_SK_SI_KR_ES_KN_VC_SE_CH_TW_TT_TR_UK_UY_VA_VE_AD_SG","AM_BD_BJ_BO_KH_CV_KM_DJ_GW_IR_KE_LA_MO_MG_MW_MV_MR_MU_MZ_NP_PW_RW_WS_SC_SO_LC_SR_TZ_TL_TG_TV_UG_UA_ZM_ZW_JO","CI_IN_LK"
"GN","Guinea","BD_BJ_BF_CV_CI_DM_EC_GM_GH_GW_HT_HK_JM_LR_MY_ML_FM_MA_NE_NG_PH_RW_SN_SL_SG_VC_TG_TN","BO_KH_KM_DJ_EG_KE_LA_MO_MG_MW_MV_MR_MU_MZ_NP_NI_PW_WS_SC_SO_LC_TZ_TL_TR_TV_UG_IR","IN"
"GW","Guinea-Bissau","SG_BD_BJ_BF_CV_CI_DM_EC_GM_GH_GN_HT_LR_ML_FM_NE_NG_PH_ST_SN_RS_SL_VC_TG_TN","BO_KH_KM_DJ_KE_MO_MG_MW_MV_MR_MU_MZ_NP_NI_PW_RW_WS_SC_SO_LC_TZ_TL_TR_TV_UG_IR",""
"GY","Guyana","AG_AR_BS_BB_BZ_BW_BR_CL_CO_CR_DM_DO_EC_FJ_GM_GD_HT_HK_ID_IE_JM_RK_LS_MY_MU_FM_PS_PA_PE_PH_QA_RU_ZA_KR_KN_LC_VC_SR_SZ_TZ_TT_UY_VU_SG","AM_BD_BJ_BO_KH_CV_KM_DJ_EG_GW_IR_KE_LA_MO_MG_MW_MV_MR_MZ_NP_NI_PW_RW_WS_SC_SB_SO_TL_TG_TV_UG_ZM_ZW_JO_BH","CI_IN_LK"
"HT","Haiti","AR_BJ_CL_DM_EC_GM_GY_HK_ID_IL_MY_FM_PS_PH_RW_SN_KR_VC_TW_SG","AM_BD_BO_KH_CV_KM_DJ_EG_GW_IR_KE_LA_MO_MG_MW_MV_MR_MU_MZ_NP_PW_WS_SC_SO_SR_TZ_TL_TG_TR_TV_UG_ZM_ZW_JO","CI_IN_LK"
"HN","Honduras","AL_AR_AT_BS_BE_BZ_BA_BR_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FI_FR_GM_GE_DE_GR_GT_HT_HK_HU_IS_ID_IE_IL_IT_JP_RK_LV_LI_LT_LU_MK_MY_MT_FM_MC_ME_NL_NI_NO_PS_PA_PY_PE_PH_PL_PT_RO_RU_SM_SN_SK_SI_KR_ES_KN_VC_SE_CH_TW_TT_TN_TR_UK_UY_VA_AD_SG","AM_BD_BJ_BO_KH_CV_KM_DJ_GW_IR_KE_LA_MO_MG_MW_MV_MR_MU_MZ_NP_PW_RW_WS_SC_SO_LC_SR_TZ_TL_TG_TV_UG_UA_ZM_ZW_JO","CI_IN_LK"
"HK","Hong Kong","CV_BG_BN_BR_BW_BA_BJ_BZ_BE_BY_BB_BS_AT_AR_AG_AL_CL_CO_HR_CY_CZ_DK_DM_DO_EC_EG_EE_FJ_FI_FR_DE_GR_GD_GY_HT_HU_IS_ID_IE_IL_IT_JM_JP_KZ_KI_RK_LV_LS_LI_AD_LT_LU_MO_MK_MW_MY_MT_MU_MX_FM_MD_MC_MN_ME_MA_NA_NL_NZ_NI_NE_NO_PS_PE_PH_PL_PT_QA_RO_RU_SM_RS_SG_SK_SI_ZA_KR_ES_KN_LC_VC_SR_SE_CH_TZ_TH_TT_TN_TR_UG_UA_UK_UY_VU_VA_VE_YE_ZM_ZW","KH_BF_BO_AM_BH_KM_DJ_ET_GW_IR_JO_KE_KW_LA_LB_MG_MV_MR_MZ_NP_OM_PW_PG_RW_WS_SC_SO_TW_TL_TG_TO_TV_AE","CA_AU_CI_IN_LK"
"HU","Hungary","AL_AD_AG_AR_AM_AT_BS_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DM_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_HT_HN_HK_IS_ID_IE_IL_IT_JM_JP_KZ_KI_RK_KG_LV_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NL_NZ_NI_NO_PW_PA_PY_PE_PH_PL_PT_QA_RO_WS_SM_SN_RS_SG_SK_SI_SB_ZA_KR_ES_KN_LC_VC_SZ_SE_CH_TW_TH_TL_TO_TT_TN_TR_TV_UA_AE_UY_VU_VA_VE_UK_BY_FM_PS_ST","BD_BF_KH_CV_KM_DJ_EG_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PG_SC_SR_TJ_TZ_TG_UG_ZM_ZW_BJ_GA_RW_SO_BH","CA_LK_US_CI_IN"
"IS","Iceland","AL_AD_AG_AR_AM_AT_BS_BB_BE_BZ_BO_BA_BW_BR_BN_BG_CL_CO_CR_HR_CY_CZ_DK_DO_EC_SV_EE_FJ_FI_FR_GM_GE_DE_GR_GD_GT_HT_HN_HK_HU_ID_IE_IL_IT_JM_JP_RK_KG_LV_LS_LI_LT_LU_MO_MK_MY_MT_MH_MU_MX_MD_MC_ME_MA_NA_NL_NZ_NI_NO_PA_PY_PE_PH_PL_PT_QA_RO_SM_SN_RS_SK_SI_SB_ZA_KR_ES_KN_LC_SE_CH_TW_TH_TL_TO_TT_TN_TR_TV_UA_AE_UY_VA_VE_UK_BY_KZ_KI_FM_PS_VC_SG_DM_ST","BD_BF_KH_CV_KM_DJ_EG_GW_IR_JO_KE_KW_LA_LB_MG_MW_MV_MR_MZ_NP_OM_PW_PG_WS_SC_SR_TJ_TZ_TG_UG_ZM_ZW_BJ_RW_SO_BH","AU_CA_LK_US_CI_IN"
"IN","India","BT_DM_EC_SV_FJ_GD_HT_ID_JM_MO_MU_FM_NP_PS_QA_SN_RS_KN_VC_TT_TN_VU","CV_KH_BO_BJ_AM_KM_DJ_ET_GA_GW_JO_KE_LA_MG_MV_MH_MR_MZ_PW_RW_WS_SC_SO_LC_SR_TZ_TH_TL_TG_TV_UG_UA_ZW","CI_HK_LK"
"ID","Indonesia","KH_BN_BY_CL_CO_DM_EC_FJ_GM_GY_HT_HK_LA_MO_MY_ML_FM_MA_MM_PS_PE_PH_QA_RW_RS_SG_VC_TH_UZ_VN","CV_BO_BJ_AZ_AM_KM_DJ_GA_GW_IR_JO_KE_KG_MG_MW_MV_MH_MR_MU_MZ_NP_NI_OM_PW_PG_WS_SC_SO_SR_TJ_TZ_TL_TG_TR_TV_UG_UA_ZW","CI_IN_LK"
"IR","Iran","AM_DM_EC_GE_HT_MY_FM_RS_TR_VE","CV_KH_BO_BJ_KM_DJ_GW_KE_LB_MO_MG_MV_MR_MZ_NP_PW_RW_WS_SC_SO_TZ_TL_TG_TV_UG_ZW","CI_LK"
"IQ","Iraq","DM_EC_HT_MY_FM","CV_KH_BO_KM_DJ_GW_LB_MO_MG_MV_MR_MZ_PW_RW_WS_SC_SO_TZ_TL_TG_TV_UG","CI_LK"
