"alpha","num","name","nameOk","area"
"AO","024","ANGOLA","Angola","103.504964645"
"BF","854","BURKINA FASO","Burkina Faso","22.5942827877"
"BI","108","BURUNDI","Burundi","2.24135503733"
"BJ","204","BeNIN","Bénin","9.56384538495"
"BW","072","BOTSWANA","Botswana","50.7393279931"
"CD","180","CONGO, LA RePUBLIQUE DeMOCRATIQUE DU","République démocratique du Congo","190.198543034"
"CF","140","CENTRAFRICAINE, RePUBLIQUE","République centrafricaine","50.5875612816"
"CG","178","CONGO","Congo","27.7908923701"
"CI","384","CâTE D?IVOIRE","Côte d'Ivoire","26.5093591779"
"CM","120","CAMEROUN","Cameroun","38.0115360554"
"CV","132","CABO VERDE","Cap-Vert","0.205565702355"
"DJ","262","DJIBOUTI","Djibouti","1.79672531247"
"DZ","012","ALGeRIE","Algérie","213.66579415"
"EG","818","eGYPTE","Egypte","89.0374281387"
"EH","732","SAHARA OCCIDENTAL","Sahara occidental","24.0204903472"
"GA","266","GABON","Gabon","21.4821307205"
"GH","288","GHANA","Ghana","19.5836045832"
"GM","324","GUINeE","Guinée","0.872074674273"
"GW","624","GUINeE-BISSAU","Guinée-Bissau","none"
"KE","404","KENYA","Kenya","47.2461590108"
"KM","174","COMORES","Comores","0.0761711710842"
"LR","430","LIBeRIA","Libéria","7.86336002921"
"LS","426","LESOTHO","Lesotho","2.794377409"
"LY","434","LIBYE","Libye","147.665021372"
"MA","504","MAROC","Maroc","38.8294138759"
"MG","450","MADAGASCAR","Madagascar","51.1103668453"
"ML","466","MALI","Mali","106.488536327"
"MR","478","MAURITANIE","Mauritanie","89.7308420963"
"MU","480","MAURICE","Maurice","0.140018262344"
"MW","454","MALAWI","Malawi","9.8455720646"
"MZ","508","MOZAMBIQUE","Mozambique","67.172907409"
"NA","516","NAMIBIE","Namibie","72.2764242867"
"NE","562","NIGER","Niger","100.67456049"
"NG","566","NIGeRIA","Nigéria","75.1604171575"
"RE","638","ReUNION","Réunion","none"
"RW","646","RWANDA","Rwanda","2.05061044804"
"SC","690","SEYCHELLES","Seychelles","0.011714257691"
"SD","729","SOUDAN","Soudan","156.020540589"
"SH","654","SAINTE-HeLÔNE, ASCENSION ET TRISTAN DA CUNHA","Saint-Hélène","0.0100445782784"
"SL","694","SIERRA LEONE","Sierra Leone","5.90135818076"
"SN","686","SeNeGAL","Sénégal","16.6423640822"
"SO","706","SOMALIE","Somalie","51.861730809"
"SS","728","SOUDAN DU SUD","Soudan du Sud","51.3818342647"
"ST","678","SAO TOMe-ET-PRINCIPE","Sao Tomé-et-Principe","0.0501795054353"
"SZ","748","SWAZILAND","Swaziland","1.52397111093"
"TG","768","TOGO","Togo","4.74820304056"
"TN","788","TUNISIE","Tunisie","15.1822384277"
"TZ","834","TANZANIE, RePUBLIQUE UNIE DE","Tanzanie","76.6806371286"
"UG","800","OUGANDA","Ouganda","19.820162137"
"ZA","710","AFRIQUE DU SUD","Afrique du Sud","112.943781788"
"ZM","894","ZAMBIE","Zambie","62.6689074523"
"ZW","716","ZIMBABWE","Zimbabwe","33.570639314"
"TD","148","TCHAD","Tchad","106.755118617"
"SOMA","sl","SOMALILAND","Somaliland","none"
"ER","232","ERYTHREE","Erythrée","none"
"ET","231","ETHIOPIE","Ethiopie","93.0586324487"
"GQ","226","GUINE_EQUA","Guinée Equatoriale","2.22425694856"